Mo hinh,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Fuzzy-LSTM,0.3962900505902192,0.40203961155878276,0.3725932354157328,0.2861234387647674
ARIMA,0.33558178752107926,0.3336278791900839,0.3334950815342972,0.33350848930640903
ANFIS,0.38785834738617203,0.41997248022015826,0.3648775335049845,0.2905510705526702
