Mo hinh,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Fuzzy-LSTM,0.3576271186440678,0.1192090395480226,0.3333333333333333,0.17561381606325424
ARIMA,0.2934027777777778,0.2412797909737934,0.3116143136917399,0.19769928583089383
ANFIS,0.3220338983050847,0.326459719142646,0.3214100542135943,0.32237674803316213
