Mo hinh,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Fuzzy-LSTM,0.3293918918918919,0.31905332674937875,0.32502620640899066,0.31924969291418837
ARIMA,0.25888324873096447,0.19514823540739537,0.2736349138505518,0.20858712391109477
ANFIS,0.33614864864864863,0.3447327191828038,0.33613768028877544,0.3314374286723673
