Mo hinh,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Fuzzy-LSTM,0.4469178082191781,0.3058260809504075,0.40781730346947737,0.3482601560524974
ARIMA,0.291044776119403,0.4507936507936508,0.3459934421032819,0.17250075908265636
ANFIS,0.3167808219178082,0.3015274482795008,0.3292373710917451,0.29022018643522984
