Date,Close,High,Low,Open,Volume,RSI,ATR,BB_upper,BB_middle,BB_lower,BB_position,MACD_hist,sentiment,label,future_return,fuzzy_label,fuzzy_0,fuzzy_1,fuzzy_2,fuzzy_3,fuzzy_4
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168943,1.3940000534057615,9295500,72.77088767610307,0.0999522805213928,1.6309618786795177,1.3247667014598847,1.018571524240252,0.5738635127198258,0.022352470628415,0.5410517550489257,2,0.0681262814454743,2,0.0,0.2944085714491422,0.40629471102521864,0.0,0.2992967175256392
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,68.23266336388066,0.0925237025533404,1.595001352446248,1.3142000019550324,1.033398651463817,0.6195382266064188,0.0205046672253095,0.5824256743077342,2,0.0260617921389336,1,0.0,0.38375398685874645,0.15434702504194855,0.07814500124055851,0.38375398685874645
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418943,1.3846670389175415,9240000,65.94602668516508,0.0902856247765677,1.5532054753757394,1.3026000022888184,1.0519945292018975,0.6078728214030673,0.0170975204015913,0.3968263449582546,1,0.0049134716535619,0,0.40781338857315635,0.40781338857315635,0.18437322285368737,0.0,0.0
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,65.52090374040247,0.0894284759249006,1.5351958333667324,1.2958666503429412,1.05653746731915,0.5699168743137212,0.0126823722808959,0.2886330302650566,0,-0.0175523772978696,1,0.34478799381397274,0.3876960321400792,0.2675159740459481,0.0,0.0
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,65.10873766522465,0.0860475557191031,1.544791507361787,1.3016000032424926,1.058408499123198,0.6913451413197966,0.0137518386270988,0.4952267929158174,0,-0.0630975403260789,1,0.021129930744908366,0.540138932759817,0.03831314277683015,0.20020899685922236,0.20020899685922236
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,62.36806800125234,0.0800475563321795,1.5494254694863152,1.3210666537284852,1.0927078379706552,0.8114974030264962,0.0183841827027822,0.727087604818248,0,-0.1330292056578207,4,0.0,0.09502774902031358,0.0,0.3956621053958025,0.509310145583884
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,57.46998883449623,0.0744761994906834,1.533208006453697,1.33926665186882,1.1453252972839432,0.7012627849687871,0.0176472178238351,0.5868726404631123,0,-0.1580432940091178,3,0.0,0.17227489024510315,0.0,0.6554502195097938,0.17227489024510315
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095823,11943000,48.97071387270615,0.074904773916517,1.5248747121831947,1.3492332994937897,1.1735918868043846,0.5401377060849276,0.0130327431053885,0.5163782388452064,0,-0.1393642931304128,2,0.0,0.0,0.7066032419772463,0.29339675802275367,0.0
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,36.84801897793869,0.0716667090143476,1.5097659185400036,1.3565333008766174,1.2033006832132311,0.3351091702786756,0.0059874119511883,0.4414920756737679,0,-0.0648292249333258,3,0.0,0.28919911813802823,0.17354129718456798,0.5372595846774036,0.0
2010-08-09,1.3066669702529907,1.3320000171661377,1.296666979789734,1.3266669511795044,12190500,45.15240580906192,0.0653333493641444,1.48131931996586,1.3650332987308502,1.2487472774958404,0.2490397895335027,0.0014755709475703,0.2896748655797368,0,-0.0418369770161196,2,0.0,0.0,1.0,0.0,0.0
2010-08-10,1.2686669826507568,1.309999942779541,1.254667043685913,1.309999942779541,19219500,42.2827592028573,0.0626190560204642,1.469669665667773,1.3680000007152555,1.2663303357627385,0.0114913670543632,-0.0036828077577402,0.0565693144739309,1,0.0063058441039807,1,0.0,1.0,0.0,0.0,0.0
2010-08-11,1.1933330297470093,1.2586669921875,1.190000057220459,1.246000051498413,11964000,30.769192423087844,0.063333341053554,1.4886192902593511,1.3615333020687104,1.2344473138780696,-0.1617577380270567,-0.0113501856161632,0.0,2,0.0486033379475332,2,0.0,0.0,1.0,0.0,0.0
2010-08-12,1.1733330488204956,1.1933330297470093,1.1593329906463623,1.1866669654846191,10365000,27.13755152820597,0.0630952715873718,1.5058749456292078,1.3538999557495115,1.2019249658698157,-0.0940678363521711,-0.0166310647290213,0.035452356231957,2,0.0676141369111571,2,0.0,0.0,1.0,0.0,0.0
2010-08-13,1.2213330268859863,1.2300000190734863,1.1773329973220823,1.212000012397766,9510000,34.43782994954356,0.0614286235400608,1.508775189118666,1.3461666047573089,1.1835580203959517,0.1161531739613939,-0.0157617961697855,0.2839025835555804,2,0.0425763697716921,1,0.0,0.838512026616941,0.0,0.16148797338305892,0.0
2010-08-16,1.2519999742507937,1.2533329725265503,1.21733295917511,1.2300000190734863,7287000,39.60047742834733,0.059619128704071,1.494131341862308,1.3357332527637482,1.1773351636651883,0.235687219381351,-0.0121535318965573,0.3605434099462678,2,0.0718850121642034,1,0.0,0.5,0.0,0.5,0.0
2010-08-17,1.2766669988632202,1.2933330535888672,1.2519999742507937,1.2640000581741333,6718500,40.98744798526074,0.0607143555368695,1.4922039221134558,1.3318999528884887,1.1715959836635217,0.3277243083248921,-0.0073728700440851,0.5210194803466024,1,0.0026106827618463,3,0.0,0.0,0.3413272711816175,0.6586727288183825,0.0
2010-08-18,1.2513329982757568,1.305999994277954,1.2400000095367432,1.305999994277954,9019500,40.94034679734747,0.0612381441252571,1.4911122083778352,1.3270666003227234,1.1630209922676116,0.2691690645850982,-0.0052821266505698,0.6620111264917775,2,0.0602029619673996,3,0.0,0.0,0.0,1.0,0.0
2010-08-19,1.25266695022583,1.2833329439163208,1.222000002861023,1.2359999418258667,8686500,43.09732970382657,0.0613809313092912,1.4831867885592769,1.319699949026108,1.1562131094929389,0.2949896172478536,-0.0032730467933794,0.7253804563705238,2,0.051091002663461,3,0.0,0.0,0.0,1.0,0.0
2010-08-20,1.273332953453064,1.27400004863739,1.2339999675750732,1.2433329820632937,4440000,38.12005707166945,0.0593332903725759,1.4700905865672025,1.31239994764328,1.1547093087193576,0.3761277307488381,-0.0001792850596098,0.641921232572307,2,0.0314136855987614,3,0.0,0.0,0.4535183669136697,0.5464816330863304,0.0
2010-08-23,1.3420000076293943,1.359333038330078,1.2666670083999634,1.2726670503616333,16321500,38.12018707758498,0.0605713639940533,1.4630432627970391,1.30966659784317,1.1562899328893008,0.605405242676726,0.0064958777176171,0.7396167072140113,1,-0.0129158201208222,3,0.0,0.0,0.08303522603670135,0.9169647739632987,0.0
2010-08-24,1.2799999713897705,1.3140000104904177,1.2633329629898071,1.2833329439163208,10096500,36.96210805321368,0.0598570789609635,1.4563554949990165,1.30516659617424,1.1539776973494635,0.4167709223465942,0.0067121963551526,0.5087022758728214,1,0.0145835805218721,3,0.0,0.0,0.3938000435765362,0.6061999564234638,0.0
2010-08-25,1.3266669511795044,1.3320000171661377,1.237333059310913,1.2773330211639404,7549500,46.469909834270815,0.059476145676204,1.4497513682916063,1.302433294057846,1.1551152198240855,0.5822494343123017,0.0097884734779036,0.700676539891332,2,0.0276377093886011,3,0.0,0.0,0.25099507242397745,0.7490049275760226,0.0
2010-08-26,1.3166669607162476,1.3513330221176147,1.3066669702529907,1.3259999752044678,6507000,51.12996688559552,0.0582380039351326,1.4457233583299085,1.3004332900047302,1.155143221679552,0.555866413798216,0.010857390074271,0.6703033422115366,2,0.0663289091003416,3,0.0,0.0,0.30939467494410017,0.6906053250558998,0.0
2010-08-27,1.3133330345153809,1.324666976928711,1.2999999523162842,1.3166669607162476,5694000,50.70217758404145,0.0574761458805628,1.4444287087172445,1.2996332943439484,1.1548378799706522,0.5473072289043838,0.0110127640673356,0.6047122853292048,2,0.0685278690203063,3,0.0,0.0,0.4578408196640621,0.5421591803359379,0.0
2010-08-30,1.324666976928711,1.3459999561309814,1.307332992553711,1.3133330345153809,10992000,56.24994502421889,0.0562857219151087,1.4344977275332318,1.296133291721344,1.157768855909456,0.6031106166726581,0.0114983710846312,0.4569472662639258,2,0.033718702619268,2,0.09774593095894563,0.2525048764382281,0.5682575679218052,0.040745812340510584,0.040745812340510584
2010-08-31,1.2986669540405271,1.3193329572677612,1.2886669635772705,1.3106670379638672,3016500,63.21066911955967,0.0532380853380474,1.401808848237426,1.2878999888896945,1.1739911295419625,0.5472613134097982,0.0097567318813883,0.5486119350729072,2,0.0728947509493294,1,0.0,0.4463614272391807,0.27681928638040965,0.27681928638040965,0.0
2010-09-01,1.363332986831665,1.3793330192565918,1.3066669702529907,1.3079999685287476,7423500,71.42843856846628,0.0565713729177201,1.3882316795481056,1.2851999878883362,1.182168296228567,0.8791697331446785,0.0124742557964728,0.5921256979620036,1,0.0127144171984596,1,0.0,0.5,0.0,0.0,0.5
2010-09-02,1.4040000438690186,1.4160000085830688,1.3539999723434448,1.3580000400543213,7306500,70.94790744496353,0.0569523062024797,1.3980672728050458,1.287233340740204,1.176399408675362,1.026764231524952,0.0162842497527894,0.7210963636678054,0,-0.0422600314529115,2,0.0,0.0,1.0,0.0,0.0
2010-09-03,1.4033329486846924,1.4199999570846558,1.3773330450057983,1.391332983970642,6519000,68.63692034245244,0.057428513254438,1.4143620097958358,1.2920999884605409,1.169837967125246,0.954895796971192,0.0179042924575589,0.7284262300676879,0,-0.0156769319767822,4,0.0,0.1231737804746193,0.0,0.09727998148802025,0.7795462380373605
2010-09-07,1.369333028793335,1.399999976158142,1.3666670322418213,1.3739999532699585,3651000,61.15554754966537,0.0570951444762093,1.422189067073896,1.295233291387558,1.16827751570122,0.7918328694120144,0.015898760323264,0.61239567539756,2,0.0282378083082859,3,0.0,0.3249264352585063,0.0,0.3501471294829874,0.3249264352585063
2010-09-08,1.3933329582214355,1.3966670036315918,1.373332977294922,1.3773330450057983,4326000,67.14967091304337,0.0543332866259983,1.435001602925678,1.301466590166092,1.167931577406506,0.8439785765279383,0.0153910998219437,0.7429825031644314,2,0.0516746742248799,4,0.0,0.04329008758541393,0.04329008758541393,0.21979168498442528,0.6936281398447468
2010-09-09,1.380666971206665,1.4033329486846924,1.3793330192565918,1.399999976158142,5643000,65.04699950695834,0.0516666429383413,1.4385873531480144,1.3108332872390749,1.1830792213301349,0.7733129575854488,0.0134738760850131,0.5423813906615322,1,0.0111055430235209,1,0.0,0.33169485503114127,0.1152422965995547,0.2213679933381627,0.33169485503114127
2010-09-10,1.3446669578552246,1.3953330516815186,1.3173329830169678,1.3833329677581787,5799000,58.09384732512437,0.0543809277670723,1.4301827171666188,1.3193999826908112,1.2086172482150035,0.6140384134311685,0.009253836718783,0.3591332284902948,1,0.0029747646341042,1,0.17808965927056356,0.4507979042197968,0.37111243650963965,0.0,0.0
2010-09-13,1.3813329935073853,1.3933329582214355,1.3666670322418213,1.3926670551300049,5412000,54.81235010132577,0.0512380685125078,1.4312566010802352,1.327399981021881,1.223543360963527,0.7596512947154906,0.0084279446864515,0.4477435600773926,2,0.0164095482176811,1,0.0,0.6425679007039642,0.35743209929603575,0.0,0.0
2010-09-14,1.4079999923706057,1.440000057220459,1.3686670064926147,1.369333028793335,9820500,67.1428299925127,0.0507142118045262,1.4386446926042882,1.3351999819278717,1.2317552712514552,0.8518788399852533,0.0091154089134681,0.5941260276942865,0,-0.0165716999854376,1,0.0,0.33904693948171977,0.16095306051828023,0.16095306051828023,0.33904693948171977
2010-09-15,1.4653329849243164,1.4666670560836792,1.3860000371932983,1.3986669778823853,10269000,68.0554733083005,0.0497142161641802,1.459393979106766,1.3446332812309263,1.229872583355087,1.0258756041990098,0.0126516337297031,0.6722489140829331,0,-0.0959959336497641,2,0.0,0.0,1.0,0.0,0.0
2010-09-16,1.3960000276565552,1.5440000295639038,1.3893330097198486,1.476667046546936,40267500,58.94734504808448,0.057571428162711,1.4599063493833355,1.3518666326999664,1.2438269160165971,0.7042461587606889,0.0096756711101108,0.5370184767450699,0,-0.065902582956129,3,0.0,0.27372056685607876,0.0,0.4525588662878424,0.27372056685607876
2010-09-17,1.348667025566101,1.4213329553604126,1.3200000524520874,1.401332974433899,17977500,53.62524695892516,0.0630475623267037,1.454165480259782,1.35666663646698,1.259167792674178,0.4589758655145954,0.0041559333777036,0.509915882113681,1,-0.006426339506493,2,0.0,0.0,0.7262761946812605,0.27372380531873947,0.0
2010-09-20,1.4040000438690186,1.4233330488204956,1.343999981880188,1.378000020980835,14212500,57.46550093495679,0.0659522839954921,1.4545015398017205,1.3631999909877777,1.271898442173835,0.7234357066655513,0.0038735938206995,0.5546984940589371,0,-0.025165980250995,3,0.0,0.1928675531208292,0.0,0.6142648937583416,0.1928675531208292
2010-09-21,1.3846670389175415,1.4366669654846191,1.378000020980835,1.3926670551300049,11940000,58.19572729476888,0.0675713505063738,1.4565430395777967,1.365333342552185,1.2741236455265732,0.6059848699746406,0.0021149148063807,0.4447610000485413,2,0.0303321556181868,2,0.2220830160638871,0.28790731783810664,0.4900096660980062,0.0,0.0
2010-09-22,1.324666976928711,1.3966670036315918,1.3200000524520874,1.391332983970642,14443500,46.28209941280187,0.0672856995037623,1.451907422753126,1.367566692829132,1.2832259629051384,0.2456761627225793,-0.0030770092114355,0.1800135545007863,2,0.1061897144305241,2,0.0,0.0,1.0,0.0,0.0
2010-09-23,1.3040000200271606,1.3426669836044312,1.2999999523162842,1.3259999752044678,10021500,39.99995596447852,0.0659047705786568,1.453648382970283,1.3664333462715148,1.2792183095727463,0.1420724639372401,-0.0076314954444011,0.2803247234795698,2,0.0434562648640224,1,0.0,0.7331950903652537,0.0,0.2668049096347464,0.0
2010-09-24,1.340000033378601,1.3459999561309814,1.309999942779541,1.3300000429153442,8683500,44.08469335111335,0.0658571294375828,1.452608362045024,1.3675999999046329,1.2825916377642417,0.3376632241301538,-0.0079139469497991,0.4785788683116898,2,0.0248753306612068,2,0.0,0.2443571052840381,0.42963539732733463,0.3260074973886272,0.0
2010-09-27,1.3686670064926147,1.3873330354690552,1.3366669416427612,1.3600000143051147,6279000,49.93716614473495,0.0668571421078273,1.451449690825232,1.3703666985034944,1.2892837061817566,0.4895188099764866,-0.0059539032870896,0.4161133991633499,2,0.0224057375132293,2,0.0,0.38697129718401035,0.6130287028159898,0.0,0.0
2010-09-28,1.4266669750213623,1.4326670169830322,1.383999943733215,1.4026670455932615,18217500,52.95515258228953,0.0694761446544102,1.4572748203980403,1.3754666984081267,1.2936585764182131,0.8129290500435835,-0.0008055224348945,0.601107185393956,1,-0.0130843308057068,3,0.0,0.0,0.0,1.0,0.0
