Date,Close,High,Low,Open,Volume,RSI,ATR,BB_upper,BB_middle,BB_lower,BB_position,MACD_hist,sentiment,label,future_return
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168943,1.3940000534057615,9295500,72.77088767610307,0.09995228052139285,1.6309618786795175,1.3247667014598847,1.018571524240252,0.5738635127198258,0.02235247062841504,0.5410517550489257,2,0.06812628144547439
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,68.23266336388066,0.09252370255334041,1.5950013524462479,1.3142000019550324,1.033398651463817,0.6195382266064188,0.02050466722530951,0.5824256743077342,2,0.02606179213893367
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418943,1.3846670389175415,9240000,65.94602668516508,0.09028562477656779,1.5532054753757394,1.3026000022888184,1.0519945292018975,0.6078728214030673,0.01709752040159137,0.3968263449582546,1,0.004913471653561929
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,65.52090374040247,0.08942847592490066,1.5351958333667324,1.2958666503429412,1.05653746731915,0.5699168743137212,0.012682372280895984,0.28863303026505666,0,-0.017552377297869626
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,65.10873766522465,0.08604755571910318,1.544791507361787,1.3016000032424926,1.0584084991231981,0.6913451413197966,0.013751838627098868,0.49522679291581745,0,-0.06309754032607895
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,62.36806800125234,0.08004755633217953,1.5494254694863152,1.3210666537284852,1.0927078379706552,0.8114974030264962,0.018384182702782265,0.727087604818248,0,-0.13302920565782073
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,57.46998883449623,0.07447619949068347,1.533208006453697,1.33926665186882,1.1453252972839432,0.7012627849687871,0.017647217823835132,0.5868726404631123,0,-0.15804329400911787
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095823,11943000,48.97071387270615,0.07490477391651704,1.5248747121831947,1.3492332994937897,1.1735918868043846,0.5401377060849276,0.01303274310538851,0.5163782388452064,0,-0.13936429313041288
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,36.84801897793869,0.07166670901434767,1.5097659185400036,1.3565333008766174,1.2033006832132311,0.3351091702786756,0.0059874119511883865,0.4414920756737679,0,-0.06482922493332588
2010-08-09,1.3066669702529907,1.3320000171661377,1.296666979789734,1.3266669511795044,12190500,45.15240580906192,0.06533334936414449,1.48131931996586,1.3650332987308502,1.2487472774958404,0.24903978953350275,0.0014755709475703475,0.2896748655797368,0,-0.04183697701611966
