epoch,train_loss,val_loss,val_acc
1,1.099020340087935,1.0915985835337005,0.46371681415929206
2,1.0979937746898614,1.0784596886255045,0.4283185840707965
3,1.0966260457914845,1.0703468883987022,0.4265486725663717
4,1.0949825457374847,1.0737410072731761,0.4283185840707965
5,1.0958050989419514,1.0812459624974073,0.4389380530973451
6,1.0935467663744485,1.0734284411489436,0.44601769911504424
7,1.0938395045375164,1.0755586820366108,0.4407079646017699
8,1.0913542817834943,1.0696515963140842,0.4389380530973451
9,1.09113535520249,1.0838089569480018,0.39646017699115044
10,1.0917086034048336,1.072302772513533,0.4407079646017699
11,1.0887518975031336,1.068922722234135,0.44778761061946903
12,1.0879688469354956,1.0881159769750275,0.40707964601769914
13,1.08511173252454,1.122717141261143,0.43716814159292033
14,1.0794939362989768,1.1030650271778613,0.3787610619469027
15,1.084491379783994,1.123093983135392,0.21946902654867256
16,1.0787260345911365,1.104854278648849,0.3380530973451327
17,1.078611677973953,1.1012927517426752,0.4247787610619469
18,1.0728836630682115,1.1097975376432976,0.42123893805309737
19,1.0649905118911038,1.1340801553388613,0.4230088495575221
20,1.0575430975171947,1.1532561283195968,0.4407079646017699
21,1.0545386779780994,1.2336155152953832,0.44424778761061945
22,1.0515163397953786,1.2079907003757173,0.4176991150442478
23,1.0459456655405877,1.2177431918878472,0.3769911504424779
24,1.0358437043009954,1.2786429325036244,0.41238938053097346
25,1.0318617909203534,1.326074843702063,0.39646017699115044
26,1.0252285784658584,1.3201507213896355,0.40530973451327434
